what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1280105519196
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1280105519198
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1280105519199
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1280105519201
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1280105519203
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1280105519207
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1280105519209
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1280105519211
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1280105519213
os,sysinfo,,,"win32",1280105519644
arch,sysinfo,,,"x86",1280105519644
ws,sysinfo,,,"win32",1280105519644
locale,sysinfo,,,"en_US",1280105519644
processors,sysinfo,,,"2",1280105519644
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1280105519644
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1280105519644
java.specification.name,sysinfo,,,"Java Platform API Specification",1280105519644
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1280105519644
java.specification.version,sysinfo,,,"1.6",1280105519644
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1280105519644
java.version,sysinfo,,,"1.6.0_21",1280105519644
java.vm.info,sysinfo,,,"mixed mode, sharing",1280105519644
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1280105519644
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1280105519644
