what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880298605
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1280880299901
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280880299991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880302811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880323353
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880323470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880327174
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280880328461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280880331676
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880333737
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880352916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880421861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880584886
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280880588035
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280880588203
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1280880595698
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280880615618
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880618245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880627432
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880632094
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280880635201
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280880641305
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280880641545
