what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280117067981
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280117073583
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280117078812
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280117088046
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280117096998
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280117103364
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280117106632
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117109564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117111901
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117113783
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117118196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117118686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117121848
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1280117124570
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280117125640
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280117127081
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1280117136338
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Inspect",1280117156427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117156481
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117174041
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117177699
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117248916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117256177
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117272344
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1280117274883
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1280117274973
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117279904
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117283670
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280117283703
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1280117291352
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1280117291437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117296914
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117308631
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1280117308663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117313315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117335339
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117339589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117446624
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280117493008
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1280117497201
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1280117497337
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1280117501628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117504340
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117506441
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1280117511521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117519151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117641257
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117641741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280117646826
