what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853178412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853180284
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853182546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1279853188786
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1279853189270
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1279853191220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1279853196742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1279853199769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853202374
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853204963
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1279853252746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853256303
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853258612
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1279853261357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853263385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853265398
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853267239
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853272964
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1279853274243
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1279853274274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853282261
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853305552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853312557
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279853474204
