what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998630313
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998630776
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Inspect",1279998646794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998646860
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998649892
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.commands.Inspect",1279998654824
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998654851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998657005
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1279998667464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998671902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998675306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998692317
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998694820
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998695350
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998708386
error,log,,,"Internal Error",1279998712657
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1279998739768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1279998742999
error,log,,,"Internal Error",1279998745873
error,log,,,"Internal Error",1279998748835
error,log,,,"Internal Error",1279998753690
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1279998760853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998767406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998767524
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1279998767566
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1279998772789
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998775631
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998779492
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998782246
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998787409
error,log,,,"Internal Error",1279998879392
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279998983938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279999062249
error,log,,,"Internal Error",1279999063959
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1279999074409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019108282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019159910
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019163648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019325574
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019339255
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019340477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280019947862
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280020059393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280101739538
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280101802739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280101804469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280101806587
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102062366
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102109648
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102122147
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102149249
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102206158
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280102210569
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280102210731
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1280102242214
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1280102251127
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1280102251676
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280102297285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102300721
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102305616
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1280102326045
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1280102328855
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1280102329785
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280102330829
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102337127
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102337447
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102337666
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102337878
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102338076
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102338354
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordNext",1280102339108
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1280102341524
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1280102378037
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1280102407527
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280102431612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102435291
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102441261
error,log,,,"Internal Error",1280102442480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102448419
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102481542
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102485988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102522523
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1280102634540
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1280102635712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280102636896
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280102666038
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102668412
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102671564
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102693087
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1280102693306
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102704902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102704933
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1280102708374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280102711246
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280102713944
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1280102716593
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280102723143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280102723303
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280102723469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280102723632
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280102723808
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1280102724222
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1280102738468
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1280102753397
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102756213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1280102758229
