what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1281850838544
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1281850838544
java.vm.version,sysinfo,,,"17.0-b16",1281850838544
started,bundle,org.eclipse.jst.servlet.ui,1.1.400.v201005272100,"org.eclipse.jst.servlet.ui",1281850838937
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1281850847168
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1281850847217
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1281850847341
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1281850847395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850872212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850873118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850873455
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850876121
error,log,,,"Referenced part does not exist yet: org.eclipse.ui.views.ProblemView.",1281850876153
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281850876257
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1281850876617
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.VariableView",1281850877329
opened,view,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms.views.LogCatView",1281850877708
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1281850877800
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1281850878882
opened,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.BreakpointView",1281850878922
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281850882170
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281850883825
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281850885778
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1281850886172
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281850887365
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1281850888452
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850898755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850905783
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1281850907792
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Resume",1281850907888
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850910310
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281850912014
started,bundle,org.eclipse.wst.server.core,1.1.203.v20100714,"org.eclipse.wst.server.core",1281850913054
started,bundle,org.eclipse.wst.server.ui,1.1.204.v20100712b,"org.eclipse.wst.server.ui",1281850913088
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1281850917173
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1281850917184
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281850918224
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1281850925678
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1281850925688
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1281850925765
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1281850925770
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1281850926161
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1281850928576
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1281850928594
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1281850928599
started,bundle,org.eclipse.pde.ui,3.6.0.v20100601,"org.eclipse.pde.ui",1281850928603
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851018824
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851023816
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281851032895
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1281851035937
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851040661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851040957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851041009
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851041388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851041429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851042301
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851043375
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851164498
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281851184549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281875077520
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281875101385
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281875123318
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1281875147639
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1281875147810
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281875151133
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876665888
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1281876670661
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.400.v201006030400,"org.eclipse.jst.j2ee.J2EEPerspective",1281876673001
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281876691628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281882956972
error,log,,,"Unhandled event loop exception",1281883005098
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281883008187
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281883008187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281883017828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281883017828
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1281883102934
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1281883102950
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1281883102950
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1281883102950
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1281883102965
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1281883102981
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1281883102981
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1281883102981
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1281883102981
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1281883102981
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1281883102981
